stn_id,stat_name,LON,LAT,Basin drainge area (km2),Max obseved historical discharge (m3/s),1_percent,2_percent,20_percent,25_percent,50_percent,100_percent
61000,taba,34.89517,29.49405,20,220,320,120,60,22,16,10
60190,Shlomo,34.91689,29.52564,15,35,350,125,78,31,21.5,12
60161,Yutum,35.06796,29.57303,3600,500,1000,440,205,68,41.5,15
60170,Netafim,34.91492,29.59179,39,90,334,108,81,37,23.5,10
60160,Amaram,34.95836,29.64017,4,78,80,68,50,24,18,12
60150,Raham,34.92578,29.6767,48,89,388,296,188,38,25,12
60140,Timna,34.97613,29.79025,21,48,368,130,90,44,29,14
60110,Yahel,35.13707,30.07263,23,118,168,128,65,45,30,15
58120,Tsnifim,34.84284,30.07954,95,80,175,121,99,60,43,26
60105,Yaelon,35.12226,30.08843,22,90,168,118,66,35,25,15
57125,Pehami,34.72633,30.09435,51,100,172,74,60,51,35.5,20
57130,ParanWesternBorder,34.72337,30.12299,2464,352,731,531,210,70,50,30
58175,KatzavRoad40,35.02254,30.15261,65,80,158,93,46,29,22.5,16
58150,HayunRoad40,35.01168,30.19901,754,70,800,362,158,94,65,36
57180,Zihur,35.0097,30.31256,166,240,263,241,84,54,32,10
57165,ParanBottleneck,34.97317,30.32638,3372,1150,1253,813,448,180,110,40
57160,Arud,34.90998,30.37476,161,90,209,130,60,33,26,19
57190,ParanAravaRd,35.15089,30.39846,3626,724,1504,912,474,192,120,48
56780,Ashosh,35.15188,30.50509,120,150,167,120,50,33,25,17
56150,NeqarotUpper,35.04722,30.57618,710,320,1038,520,220,100,65,30
56140,Ramon,34.86061,30.6137,111,76,167,136,95,64,42,20
56164,NeqarotAravaRd,35.2131,30.65023,955,700,1308,400,140,80,60,40
59178,ElBoureida,35.28518,30.70454,610,310,788,259,167,115,69.5,24
59185,Uba,35.31381,30.7776,116,248,250,120,90,78,59,40
55106,ZinAvedat,34.77471,30.77859,125,552,252,195,148,42,33.5,25
25292,NizzanaBridge,34.51603,30.78649,800,1300,1300,400,140,80,60,40
55140,ZinMasos,34.98304,30.80229,674,572,791,400,199,65,51.5,38
55109,ZinWaterfall,34.76385,30.825,234,551,467,391,161,56,42,28
55180,ZinAkrabim,35.19928,30.90497,1130,552,1000,595,248,122,73,24
25191,LavanNizzanaRd,34.52491,30.91386,208,82,373,206,81,60,39,18
59195,AmaziaEinTamar,35.35923,30.93459,134,300,450,211,105,44,31,18
55160,Hatirah,35.04031,30.94545,66,100,290,107,65,42,29.5,17
55193,ZinAravaRd,35.299,30.94743,1276,800,1200,820,362,139,82,25
55170,Yamin,35.07882,30.95039,40,59,200,88,50,37,23.5,10
23105,BesorNewNizzanaRd,34.69474,30.95434,800,116,181,126,82,52,33.5,15
55165,Mamshit,35.04525,30.95928,,120,400,280,160,90,56.5,23
25190,NizzanaRoad,34.36398,30.96125,61,120,298,105,85,40,27.5,15
23110,Revivim,34.76879,31.01161,217,712,600,380,132,50,32.5,15
48199,AshalimCanal,35.35429,31.01753,20,400,794,300,110,62,43.5,25
48148,Ashalim,35.3691,31.04024,75,300,300,140,78,40,29,18
23140,Secher,34.82803,31.09257,91,100,224,216,71,48,32,16
48192,Hemar,35.35429,31.13503,358,350,826,392,170,75,55.5,36
48190,NeveZohar,35.36219,31.14786,,200,300,200,95,30,22.5,15
48188,Bokek,35.36021,31.1992,20,100,397,240,106,35,27,19
23145,BesorTseelim,34.54071,31.20809,2378,800,460,250,160,78,53,28
23134,Beqa,34.79742,31.22685,95,251,224,196,71,48,32,16
23137,BeerShevaHazerim,34.74411,31.22882,1233,1090,1167,647,305,167,98.5,30
48185,Rahhaf,35.37601,31.29596,75,770,794,309,190,97,59.5,22
23726,Eshtamoah,34.9633,31.3246,119,161,217,110,60,43,32.5,22
48180,ZeelimRoad90,35.38786,31.34039,300,300,800,750,293,110,77.5,45
23122,Hevronbridge,34.93269,31.34434,179,229,120,92,75,40,27.5,15
23146,GrarBrosh,34.61476,31.3789,,250,460,220,80,46,30,14
23150,BesorReim,34.44987,31.38779,2630,759,1001,491,165,80,55,30
23160,GrarReim,34.44296,31.39964,698,400,351,187,104,46,32,18
48142,Hever,35.38786,31.40457,180,580,460,720,129,46,31.5,17
48156,Arugot,35.39082,31.45789,235,586,757,630,293,120,78,36
48135,David,35.38292,31.47171,30,350,380,160,48,32,19.5,7
48134,Kedem,35.39378,31.51121,12,200,220,120,86,35,28.5,22
48132,Hazazon,35.39971,31.56354,18,280,280,120,86,35,28.5,22
48130,Teqoa,35.35231,31.58723,123,300,417,266,160,78,51.5,25
48125,Darga,35.36614,31.59908,137,62,300,140,95,35,23.5,12
48113,Tamarim,35.41847,31.63759,139,100,380,220,98,32,19.5,7
48130,Kidron,35.43427,31.67609,180,300,417,266,160,78,61.5,45
48131,Kumeran,35.45697,31.74027,65,220,380,240,156,50,33.5,17
46151,Og,35.47573,31.76397,249,300,400,210,128,55,37.5,20
46150,KeltYeriho,35.51325,31.84197,133,330,377,296,157,83,55,27
